feeder_code,lt_consumer_count,ht_consumer_count,lt_consumption,ht_consumption,lt_billed_amount,ht_billed_amount,lt_collected_amount,ht_collected_amount,month_date,month_name,month_number,si_no,region,circle,subdivision,section,substation_code,substation_name,feeder_line_length_km,manufacturer_name,msn,mf,mect,mept,mode,voltage_level,feeder_category,is_nfms_feeder,lat,long,dcu_no,division,feeder_name,year,month,Total_Billed_Amount,Total_Collection,Revenue_Gap,Total_Consumption
223812,2079.0,0.0,207549.0,,1463946.0,,1432546.0,,2025-01-01,January,1,77.0,Chennai North,Chennai  Central,USMAN ROAD,USMANROAD,2238.0,USMAN ROAD SS,3.348,GENUS,19408775,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223812-11 KV PARTHASARATHY PURAM,2025,1,1463946.0,1432546.0,31400.0,207549.0
223810,2704.0,0.0,642390.0,,3807120.0,,4740187.0,,2025-01-01,January,1,201.0,Chennai South,South I Chennai,Kodambakkam,Rangarajapuram,2238.0,USMAN ROAD SS,3.719,GENUS,04323364,60000.0,600.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,KK Nagar,223810-11 KV BETA ,2025,1,3807120.0,4740187.0,-933067.0,642390.0
223809,143.0,3.0,133088.0,694003.0,1697075.0,7259062.0,1666351.0,7259062.0,2025-01-01,January,1,59.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2238.0,USMAN ROAD SS,2.041,GENUS,19408765,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223809-11 KV  CANARA BANK,2025,1,8956137.0,8925413.0,30724.0,827091.0
223807,295.0,0.0,108197.0,,1772931.0,,1773597.0,,2025-01-01,January,1,175.0,Chennai North,Chennai  Central,T NAGAR SOUTH,T.NAGAR SOUTH,2238.0,USMAN ROAD SS,,GENUS,19408761,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223807-11 KV  USMAN ROAD,2025,1,1772931.0,1773597.0,-666.0,108197.0
223806,571.0,3.0,472719.0,216133.0,5151012.0,2648793.0,4988755.0,2648793.0,2025-01-01,January,1,58.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2238.0,USMAN ROAD SS,3.452,GENUS,19408763,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223806-11 KV ARULAMBAL,2025,1,7799805.0,7637548.0,162257.0,688852.0
223805,1286.0,1.0,703848.0,36599.0,8051062.0,559389.0,7885409.0,559389.0,2025-01-01,January,1,57.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2238.0,USMAN ROAD SS,3.177,GENUS,19408762,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223805-11 kV ALPHA CENTER,2025,1,8610451.0,8444798.0,165653.0,740447.0
223804,933.0,1.0,570774.0,74965.0,5365666.0,556330.0,5319643.0,556330.0,2025-01-01,January,1,56.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2238.0,USMAN ROAD SS,3.721,GENUS,19408980,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,Mylapore,223804-11 KV  RAJAN STREET,2025,1,5921996.0,5875973.0,46023.0,645739.0
223803,1017.0,1.0,963176.0,55428.0,10686441.0,411757.0,10406460.0,411757.0,2025-01-01,January,1,55.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2238.0,USMAN ROAD SS,3.865,GENUS,19408979,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223803-11 KV  BAZULLAH  ROAD,2025,1,11098198.0,10818217.0,279981.0,1018604.0
223802,1579.0,0.0,204153.0,,2811685.0,,2657035.0,,2025-01-01,January,1,162.0,Chennai North,Chennai  Central,USMAN ROAD,USMANROAD,2238.0,USMAN ROAD SS,2.621,GENUS,19408978,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223802-11 KV  CHARI STREET,2025,1,2811685.0,2657035.0,154650.0,204153.0
223801,1302.0,1.0,811947.0,220305.0,8542606.0,2126843.0,8593997.0,2126843.0,2025-01-01,January,1,54.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2238.0,USMAN ROAD SS,,GENUS,19408977,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0469,80.23349,00451H21,TNagar,223801-11 KV  LOCAL,2025,1,10669449.0,10720840.0,-51391.0,1032252.0
223710,85.0,0.0,26490.0,,178570.0,,133239.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,178570.0,133239.0,45331.0,26490.0
223703,19.0,0.0,2201.0,,30156.0,,27079.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,30156.0,27079.0,3077.0,2201.0
223701,372.0,0.0,59570.0,,347480.0,,321034.0,,2025-01-01,January,1,,,,,,,,,,,,,,,,,,,,,,,2025,1,347480.0,321034.0,26446.0,59570.0
223011,2397.0,1.0,593691.0,16004.0,3512915.0,233554.0,3374810.0,233554.0,2025-01-01,January,1,53.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,2.461,L and T,19410180,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223011-11 KV SOUTH WEST BOAG ROAD,2025,1,3746469.0,3608364.0,138105.0,609695.0
223010,327.0,0.0,154909.0,,2177531.0,,2170924.0,,2025-01-01,January,1,156.0,Chennai North,Chennai  Central,T NAGAR SOUTH,T.NAGAR SOUTH,2230.0,MHU COMPOUND SS 33 KV,1.856,L and T,19410179,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223010-11 KV Ramanathan Feeder,2025,1,2177531.0,2170924.0,6607.0,154909.0
223009,541.0,1.0,67102.0,14662.0,811470.0,141216.0,760150.0,141216.0,2025-01-01,January,1,52.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,1.415,L and T,X0857432,300.0,1.0,1.0,Output Feeder,11 KV,Non AG,NO,13.03035,80.23706,00457H21,TNagar,223009-11 KV Mambalam 0.25,2025,1,952686.0,901366.0,51320.0,81764.0
223006,111.0,2.0,256581.0,376602.0,4088394.0,4932906.0,3847531.0,4932906.0,2025-01-01,January,1,51.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,1.259,L and T,19409542,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223006-11 KV MOSQUE,2025,1,9021300.0,8780437.0,240863.0,633183.0
223005,2809.0,1.0,970568.0,76318.0,6967719.0,1118375.0,6747320.0,1118375.0,2025-01-01,January,1,50.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,3.513,L and T,19409541,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223005-11 KV HOUSING BOARD,2025,1,8086094.0,7865695.0,220399.0,1046886.0
223004,45.0,0.0,16442.0,,114044.0,,119098.0,,2025-01-01,January,1,155.0,Chennai North,Chennai  Central,SAIDAPET,CIT NAGAR II,2230.0,MHU COMPOUND SS 33 KV,4.779,L and T,19409846,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223004-11 KV LOTUS COLONY,2025,1,114044.0,119098.0,-5054.0,16442.0
223003,1247.0,2.0,593238.0,405444.0,7324212.0,1839070.0,7323652.0,1839070.0,2025-01-01,January,1,49.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,,L and T,19410176,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223003-11 KV USMAN ROAD,2025,1,9163282.0,9162722.0,560.0,998682.0
223002,870.0,1.0,307937.0,118775.0,4102585.0,746981.0,4126467.0,746981.0,2025-01-01,January,1,48.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,2.576,L and T,19410178,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223002-11KV MOTHILAL FDR,2025,1,4849566.0,4873448.0,-23882.0,426712.0
223001,2534.0,1.0,419863.0,86320.0,3022236.0,1323960.0,2961404.0,1323960.0,2025-01-01,January,1,47.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2230.0,MHU COMPOUND SS 33 KV,3.639,L and T,19410177,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.03035,80.23706,00457H21,TNagar,223001-11KV SADULLA FDR,2025,1,4346196.0,4285364.0,60832.0,506183.0
222816,728.0,3.0,39348.0,109226.0,658600.0,1653361.0,699603.0,1653361.0,2025-01-01,January,1,46.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,,L and T,19409578,200.0,200.0,1.0,Output Feeder,11 KV,Non AG,YES,13.054,80.25,00458C22,Mylapore,222816-THIRUMURTHY NAGAR,2025,1,2311961.0,2352964.0,-41003.0,148574.0
222810,106.0,1.0,79694.0,17550.0,1222917.0,397409.0,1257676.0,397409.0,2025-01-01,January,1,45.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,1.509,L and T,19409106,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0556,80.25248166,00458C22,Mylapore,222810-11 KV   CANARA BANK,2025,1,1620326.0,1655085.0,-34759.0,97244.0
222809,2.0,1.0,5746.0,183804.0,184385.0,1304216.0,184385.0,1304216.0,2025-01-01,January,1,44.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,1.92,L and T,19408847,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0541087,80.250107,00458C22,Mylapore,222809-11 KV  TELEPHONE EXCHANGE,2025,1,1488601.0,1488601.0,0.0,189550.0
222808,40.0,2.0,15198.0,231247.0,212299.0,2757762.0,212299.0,2757762.0,2025-01-01,January,1,43.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,2.795,HPL,19409290,400.0,400.0,1.0,Output Feeder,11 KV,Non AG,YES,13.0548,80.2507761,00458C22,Mylapore,222808-11 KV    EGMORE,2025,1,2970061.0,2970061.0,0.0,246445.0
222807,170.0,1.0,41012.0,557070.0,986113.0,4680686.0,2225386.0,4680686.0,2025-01-01,January,1,42.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,1.172,L and T,19408846,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0541087,80.250107,00458C22,Mylapore,222807-11 KV   JAWAHAR PLAZA,2025,1,5666799.0,6906072.0,-1239273.0,598082.0
222806,398.0,0.0,54076.0,,792127.0,,792127.0,,2025-01-01,January,1,161.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,,L and T,19409580,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0541087,80.250107,00458C22,Mylapore,222806-11 KV   LOCAL,2025,1,792127.0,792127.0,0.0,54076.0
222805,994.0,2.0,754162.0,320933.0,8387960.0,3566069.0,8252865.0,3566069.0,2025-01-01,January,1,41.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,2.656,L and T,19408695,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0541087,80.250107,00458C22,Mylapore,222805-11 KV  MAHALINGAPURAM,2025,1,11954029.0,11818934.0,135095.0,1075095.0
222804,230.0,0.0,3161.0,,47908.0,,41060.0,,2025-01-01,January,1,173.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,1.562,L and T,19408694,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0535,80.25089166,00458C22,Mylapore,222804-11 KV INDUSTRIAL,2025,1,47908.0,41060.0,6848.0,3161.0
222803,36.0,0.0,48716.0,,968746.0,,968746.0,,2025-01-01,January,1,174.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,1.767,L and T,19409577,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0531,80.25138166,00458C22,Mylapore,222803-11 KV  ADAYAR,2025,1,968746.0,968746.0,0.0,48716.0
222801,308.0,2.0,228299.0,361256.0,3474839.0,2886226.0,3468750.0,2886226.0,2025-01-01,January,1,40.0,Chennai North,Chennai  Central,NUNGAMBAKKAM,NUNGAMBAKKAM,2228.0,NUNGAMBAKKAM 33 KV   ,2.411,L and T,19409110,200.0,200.0,100.0,Output Feeder,11 KV,Non AG,YES,13.0541087,80.250107,00458C22,Mylapore,222801-11 KV  GEMINI,2025,1,6361065.0,6354976.0,6089.0,589555.0
222728,42.0,0.0,62.0,,0.0,,,,2025-01-01,January,1,196.0,Chennai North,Chennai  Central,SAIDAPET,SAIDAPET EAST,2227.0,SAIDAPET 3311KV SS,,SECURE,Q0792336,4000.0,400.0,100.0,Output Feeder,11 KV,Non AG,YES,13.024,80.23,00453H21,TNagar,222728-11KV TNHB FEEDER,2025,1,0.0,0.0,0.0,62.0
222727,304.0,0.0,239736.0,,3024539.0,,3016559.0,,2025-01-01,January,1,195.0,Chennai North,Chennai  Central,SAIDAPET,CIT NAGAR I,2227.0,SAIDAPET 3311KV SS,,SECURE,Q0792320,40000.0,400.0,100.0,Output Feeder,11 KV,Non AG,NO,13.024,80.23,00453H21,TNagar,222727-11KV PANPET,2025,1,3024539.0,3016559.0,7980.0,239736.0
222724,1552.0,1.0,115227.0,37119.0,734325.0,392983.0,719753.0,392983.0,2025-01-01,January,1,39.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2227.0,SAIDAPET 3311KV SS,3.159,L and T,19409046,600.0,600.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222724-11 KV  SASTHRI NAGAR,2025,1,1127308.0,1112736.0,14572.0,152346.0
222723,1205.0,0.0,315299.0,,1754827.0,,1631878.0,,2025-01-01,January,1,160.0,Chennai North,Chennai  Central,SAIDAPET,SAIDAPET EAST,2227.0,SAIDAPET 3311KV SS,1.875,GENUS,19409425,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222723-11 KV  TOADHUNTER NAGAR,2025,1,1754827.0,1631878.0,122949.0,315299.0
222708,4878.0,0.0,662938.0,,2887933.0,,2594055.0,,2025-01-01,January,1,76.0,Chennai North,Chennai  Central,SAIDAPET,CIT NAGAR I,2227.0,SAIDAPET 3311KV SS,3.028,L and T,19409048,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222708-11 KV  LEVEL CRASSING,2025,1,2887933.0,2594055.0,293878.0,662938.0
222707,211.0,1.0,292808.0,,3976903.0,,3766331.0,,2025-01-01,January,1,38.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2227.0,SAIDAPET 3311KV SS,4.263,L and T,19409424,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222707-11 KV  NANDANAM,2025,1,3976903.0,3766331.0,210572.0,292808.0
222706,934.0,0.0,413453.0,,3993665.0,,3698249.0,,2025-01-01,January,1,74.0,Chennai North,Chennai  Central,T NAGAR SOUTH,T.NAGAR SOUTH,2227.0,SAIDAPET 3311KV SS,3.731,L and T,19409047,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222706-11 KV  CIT NAGAR,2025,1,3993665.0,3698249.0,295416.0,413453.0
222705,2774.0,0.0,155322.0,,1241180.0,,1491638.0,,2025-01-01,January,1,73.0,Chennai North,Chennai  Central,SAIDAPET,CIT NAGAR I,2227.0,SAIDAPET 3311KV SS,,L and T,19408925,600.0,600.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222705-11 KV 0.25  MHU (SAIDAPETSS),2025,1,1241180.0,1491638.0,-250458.0,155322.0
222704,2307.0,0.0,970704.0,,8291135.0,,7467468.0,,2025-01-01,January,1,75.0,Chennai North,Chennai  Central,SAIDAPET,SAIDAPET EAST,2227.0,SAIDAPET 3311KV SS,5.011,L and T,19408924,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222704-11 KV  Saidapet ,2025,1,8291135.0,7467468.0,823667.0,970704.0
222703,2890.0,0.0,317379.0,,2495369.0,,2453204.0,,2025-01-01,January,1,72.0,Chennai North,Chennai  Central,SAIDAPET,SAIDAPET EAST,2227.0,SAIDAPET 3311KV SS,4.247,L and T,19408923,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222703-11 KV  GUINDY,2025,1,2495369.0,2453204.0,42165.0,317379.0
222702,527.0,1.0,199752.0,38096.0,1824796.0,714664.0,1713145.0,714664.0,2025-01-01,January,1,37.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2227.0,SAIDAPET 3311KV SS,1.66,L and T,19408922,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222702-11 KV  RAJBHAVAN,2025,1,2539460.0,2427809.0,111651.0,237848.0
222701,4844.0,0.0,739407.0,,5594304.0,,5457285.0,,2025-01-01,January,1,71.0,Chennai North,Chennai  Central,SAIDAPET,CIT NAGAR I,2227.0,SAIDAPET 3311KV SS,3.458,L and T,19408921,300.0,300.0,1.0,Output Feeder,11 KV,Non AG,YES,13.02446,80.23012,00453H21,TNagar,222701-11 KV  KULAKARAI,2025,1,5594304.0,5457285.0,137019.0,739407.0
222626,632.0,0.0,213437.0,,2829077.0,,2660253.0,,2025-01-01,January,1,158.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,2.001,L and T,19408788,600.0,100.0,600.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222626-11KV ARCOT STREET,2025,1,2829077.0,2660253.0,168824.0,213437.0
222624,419.0,1.0,200322.0,85302.0,2772575.0,1411366.0,2562015.0,1411366.0,2025-01-01,January,1,35.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,2.337,L and T,19408790,300.0,100.0,300.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222624-11 KV TTD,2025,1,4183941.0,3973381.0,210560.0,285624.0
222623,231.0,1.0,314058.0,325884.0,4697630.0,1758943.0,4532544.0,1758943.0,2025-01-01,January,1,34.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,0.991,L and T,19408904,300.0,100.0,300.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222623-11 KVHOLY ANGLES,2025,1,6456573.0,6291487.0,165086.0,639942.0
222622,643.0,0.0,882563.0,,12546144.0,,12164324.0,,2025-01-01,January,1,171.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,1.412,SECURE,Q0792322,30000.0,100.0,300.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222622-11 KVPONDY BAZAAR,2025,1,12546144.0,12164324.0,381820.0,882563.0
222620,1441.0,1.0,621130.0,44258.0,5950612.0,594801.0,5859213.0,594801.0,2025-01-01,January,1,33.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,3.267,HPL,05021959,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222620-11 KV RAMAN,2025,1,6545413.0,6454014.0,91399.0,665388.0
222617,471.0,2.0,355763.0,95064.0,4585832.0,1054116.0,4517322.0,1054116.0,2025-01-01,January,1,32.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,3.676,L and T,19408862,300.0,100.0,300.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222617-11 KV NORTH USMAN ROAD,2025,1,5639948.0,5571438.0,68510.0,450827.0
222611,589.0,1.0,729190.0,78395.0,9960792.0,783944.0,9827669.0,783944.0,2025-01-01,January,1,31.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,,HPL,05021689,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222611-11 KV LOCAL,2025,1,10744736.0,10611613.0,133123.0,807585.0
222610,380.0,1.0,259493.0,341990.0,3604622.0,4136933.0,3610254.0,4136933.0,2025-01-01,January,1,30.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,1.733,L and T,19409924,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222610-11 KV ELDAMS,2025,1,7741555.0,7747187.0,-5632.0,601483.0
222609,1227.0,0.0,434307.0,,5480644.0,,5465459.0,,2025-01-01,January,1,159.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR CENTRAL,2226.0,MAMBALAM 33 KV,3.741,HPL,05021684,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222609-11 KV ADYAR GATE,2025,1,5480644.0,5465459.0,15185.0,434307.0
222608,527.0,2.0,446320.0,360715.0,4988848.0,1404953.0,4962108.0,1404953.0,2025-01-01,January,1,29.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,2.4,HPL,05021960,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222608-11 KV V. R .C ROAD,2025,1,6393801.0,6367061.0,26740.0,807035.0
222606,726.0,1.0,71238.0,59262.0,845643.0,1141388.0,691043.0,1141388.0,2025-01-01,January,1,28.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,2.803,L and T,19408864,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222606-11 KV ALAIYAMMAN,2025,1,1987031.0,1832431.0,154600.0,130500.0
222605,810.0,1.0,124026.0,19556.0,1640545.0,534244.0,1605546.0,534244.0,2025-01-01,January,1,27.0,Chennai North,Chennai  Central,THYAGARAJ NAGAR,T.NAGAR EAST,2226.0,MAMBALAM 33 KV,2.511,HPL,Q0792274,200.0,100.0,200.0,Output Feeder,11 KV,Non AG,YES,13.0934,80.2394,00454H21,TNagar,222605-11 KV RAMASAMY,2025,1,2174789.0,2139790.0,34999.0,143582.0
